Gene type	Gene name
TEC	
protein_coding	ZNF629
misc_RNA	Metazoa_SRP
protein_coding	FGF21
processed_pseudogene	
lncRNA	
lncRNA	
protein_coding	BPIFB3
lncRNA	
processed_pseudogene	
miRNA	MIR126
miRNA	MIR4519
protein_coding	AGPAT2
lncRNA	
lncRNA	LINC-PINT
miRNA	MIR762
unitary_pseudogene	CTF2P
miRNA	MIR503
protein_coding	GTF2A1L
lncRNA	FBXL19-AS1
miRNA	MIR424
lncRNA	LINC00629
snRNA	RNU6-317P
protein_coding	CA10
lncRNA	
lncRNA	
processed_pseudogene	
lncRNA	
protein_coding	ORAI3
lncRNA	SMARCA5-AS1
protein_coding	BCAT2
protein_coding	PLAC1
protein_coding	DZIP3
protein_coding	RWDD4
lncRNA	
lncRNA	
TEC	
processed_pseudogene	RPL21P133
processed_pseudogene	RPS7P12
snRNA	RNU4-44P
protein_coding	HSD3B7
protein_coding	DNMT3B
protein_coding	PABIR2
lncRNA	
protein_coding	CBLL1
lncRNA	
protein_coding	DIPK1B
processed_pseudogene	
processed_pseudogene	PRMT5P1
lncRNA	
TEC	
lncRNA	
protein_coding	TRHR
lncRNA	
processed_pseudogene	CCNHP1
processed_pseudogene	
lncRNA	
lncRNA	
snoRNA	SNORA17B
snoRNA	SNORA17B
snoRNA	SNORA17A
protein_coding	TMEM184C
protein_coding	ENY2
snoRNA	
unprocessed_pseudogene	
protein_coding	LCN10
lncRNA	
processed_pseudogene	
unprocessed_pseudogene	
unprocessed_pseudogene	MTCO2P9
lncRNA	
protein_coding	STX1B
unprocessed_pseudogene	DUX4L3
lncRNA	
protein_coding	IL15
processed_pseudogene	ERHP1
unprocessed_pseudogene	
protein_coding	MTPN
lncRNA	
protein_coding	ZSWIM2
lncRNA	
processed_pseudogene	
lncRNA	LINC00698
protein_coding	SSMEM1
processed_pseudogene	
protein_coding	
lncRNA	
lncRNA	LINC01826
lncRNA	CFAP44-AS1
processed_pseudogene	RPL5P8
processed_pseudogene	
unprocessed_pseudogene	MTCO3P7
lncRNA	
lncRNA	
lncRNA	TUSC7
lncRNA	
lncRNA	
protein_coding	LCN6
lncRNA	NCKAP5-AS1
lncRNA	
processed_pseudogene	
processed_pseudogene	MAPK6P5
processed_pseudogene	
protein_coding	NUDCD1
protein_coding	ACADL
pseudogene	
protein_coding	BMT2
processed_pseudogene	MRPS18CP7
rRNA_pseudogene	RNA5SP505
protein_coding	STX4
protein_coding	MRPL23
protein_coding	PHF8
protein_coding	DPPA2
ribozyme	RPPH1-2P
protein_coding	CHURC1-FNTB
processed_pseudogene	H4P1
processed_pseudogene	
lncRNA	
processed_pseudogene	PPP1R2P6
lncRNA	
TR_V_gene	TRBV7-2
TEC	
protein_coding	SPCS1
processed_pseudogene	
processed_pseudogene	NMD3P1
protein_coding	COL26A1
protein_coding	CACNG5
miRNA	MIR6722
protein_coding	LCN15
processed_pseudogene	
lncRNA	
lncRNA	LINC02017
protein_coding	RAB15
lncRNA	SCHLAP1
lncRNA	
protein_coding	FAM124B
protein_coding	STAB1
processed_pseudogene	
protein_coding	ANKRD46
protein_coding	NME1-NME2
processed_pseudogene	
lncRNA	
lncRNA	LINC01219
processed_pseudogene	
lncRNA	LINC00613
processed_pseudogene	ATP6V1G1P3
protein_coding	TMEM141
misc_RNA	
processed_pseudogene	
miRNA	MIR675
misc_RNA	
unprocessed_pseudogene	OR4C50P
processed_pseudogene	MLLT10P2
lncRNA	ARHGAP15-AS1
lncRNA	
protein_coding	OR4C46
unprocessed_pseudogene	DUX4L8
unprocessed_pseudogene	OR4C7P
processed_pseudogene	MLXP1
unprocessed_pseudogene	OR4R2P
unprocessed_pseudogene	OR4A4P
unprocessed_pseudogene	OR4A3P
lncRNA	
lncRNA	
processed_pseudogene	
unprocessed_pseudogene	OR4A2P
unprocessed_pseudogene	
processed_pseudogene	
protein_coding	OR52L1
lncRNA	
lncRNA	
lncRNA	LINC01907
processed_pseudogene	
processed_pseudogene	KRT18P58
rRNA_pseudogene	RNA5SP329
unprocessed_pseudogene	DUX4L1
unprocessed_pseudogene	OR56A7P
lncRNA	
unitary_pseudogene	OR52X1P
protein_coding	
protein_coding	OR56B4
processed_pseudogene	ASS1P8
lncRNA	
protein_coding	CCDC183
processed_pseudogene	
unprocessed_pseudogene	OR56B3P
protein_coding	
unprocessed_pseudogene	OR52L2P
lncRNA	
polymorphic_pseudogene	OR52P1P
lncRNA	
unprocessed_pseudogene	OR52Z1
lncRNA	
polymorphic_pseudogene	OR5AK3P
unprocessed_pseudogene	OR5AK1P
processed_pseudogene	MYL12BP2
unprocessed_pseudogene	OR5BQ1P
protein_coding	NPY5R
protein_coding	ITPRID2
snRNA	RNU6ATAC12P
lncRNA	
lncRNA	
unprocessed_pseudogene	TUBB7P
processed_pseudogene	
processed_pseudogene	NDUFB2P1
lncRNA	
processed_pseudogene	
lncRNA	
protein_coding	C4orf45
lncRNA	NTM-AS1
unprocessed_pseudogene	OR8B7P
protein_coding	FAM153A
unprocessed_pseudogene	OR8B6P
unprocessed_pseudogene	OR8B5P
lncRNA	WWC2-AS1
transcribed_unprocessed_pseudogene	OR8B1P
protein_coding	HSD17B14
unprocessed_pseudogene	OR8C1P
lncRNA	LINC01098
unprocessed_pseudogene	OR8X1P
lncRNA	
unprocessed_pseudogene	OR8A2P
lncRNA	MIR4453HG
processed_pseudogene	
transcribed_unprocessed_pseudogene	OR8B9P
TEC	
lncRNA	
protein_coding	GK3P
protein_coding	RNFT1
unprocessed_pseudogene	OR8B10P
lncRNA	
unprocessed_pseudogene	OR8A3P
unprocessed_pseudogene	
lncRNA	
protein_coding	OR8A1
protein_coding	FNTB
lncRNA	LINC00290
unprocessed_pseudogene	MTND1P22
processed_pseudogene	
lncRNA	
processed_pseudogene	
processed_pseudogene	ZNF619P1
lncRNA	
unprocessed_pseudogene	OR8Q1P
protein_coding	ZNF212
lncRNA	
polymorphic_pseudogene	OR8G2P
miRNA	MIR1343
lncRNA	CD44-AS1
processed_pseudogene	GAPDHP62
protein_coding	TLL1
protein_coding	SNX31
lncRNA	
lncRNA	
protein_coding	ZBTB12
lncRNA	
protein_coding	PLEKHA4
lncRNA	CCDC183-AS1
protein_coding	CSNK2B
processed_pseudogene	
TR_V_gene	TRBV16
lncRNA	
protein_coding	RABL6
lncRNA	LINC01022
lncRNA	
processed_pseudogene	RPL10P11
protein_coding	TBX2
lncRNA	LINC02577
processed_pseudogene	
lncRNA	
unprocessed_pseudogene	
protein_coding	SLC1A2
transcribed_unprocessed_pseudogene	CCZ1P1
TR_V_gene	TRBV24-1
protein_coding	SLC26A3
lncRNA	
lncRNA	
snRNA	RNU6-1092P
miRNA	MIR7705
snRNA	RNU6ATAC41P
misc_RNA	Y_RNA
lncRNA	
protein_coding	MAX
processed_pseudogene	RPS20P23
lncRNA	
lncRNA	
protein_coding	MAP2K6
protein_coding	PABPC1
protein_coding	POTEB3
lncRNA	
lncRNA	
protein_coding	ZNF668
TEC	
lncRNA	
TEC	
protein_coding	MAS1
TEC	
lncRNA	LINC02356
protein_coding	HSPA12A
protein_coding	IGF2R
lncRNA	
lncRNA	
processed_pseudogene	NCLP1
miRNA	MIR4292
protein_coding	PHPT1
protein_coding	P2RX7
lncRNA	
protein_coding	ZNF646
processed_pseudogene	
processed_pseudogene	HMGB1P36
protein_coding	PPP1R15A
processed_pseudogene	
protein_coding	PLIN1
protein_coding	
protein_coding	PRSS53
TR_V_gene	TRBV9
protein_coding	CHCHD2
protein_coding	TULP2
protein_coding	HEG1
lncRNA	
processed_pseudogene	
processed_pseudogene	
lncRNA	
transcribed_processed_pseudogene	SKP1P1
protein_coding	
protein_coding	PYGB
protein_coding	MAP9
protein_coding	FSCN3
protein_coding	VKORC1
protein_coding	MAMDC4
protein_coding	PLA1A
protein_coding	PEX11A
processed_pseudogene	PAICSP6
TR_V_pseudogene	TRBV8-1
TR_V_gene	TRBV19
protein_coding	NUCB1
protein_coding	TMEM209
lncRNA	AIRN
transcribed_processed_pseudogene	CHP1P2
protein_coding	SLC22A1
protein_coding	PRKCA
snRNA	RNU6-883P
processed_pseudogene	RPS26P41
TEC	
lncRNA	
lncRNA	
processed_pseudogene	RPL36AP43
protein_coding	MYOZ1
protein_coding	BCKDK
protein_coding	
lncRNA	
protein_coding	JMJD7
lncRNA	
unprocessed_pseudogene	OR1X5P
miRNA	MIR4706
lncRNA	
protein_coding	FAM120C
lncRNA	FAM153CP
protein_coding	SYNPO2L
protein_coding	MRPL52
lncRNA	SYNPO2L-AS1
lncRNA	
lncRNA	
lncRNA	BMS1P4-AGAP5
processed_pseudogene	NFYBP1
protein_coding	GPR27
protein_coding	ABHD12
lncRNA	BMS1P4
TEC	
protein_coding	TEX55
processed_pseudogene	
protein_coding	EDF1
lncRNA	
rRNA_pseudogene	RNA5SP320
transcribed_unprocessed_pseudogene	BMS1P4
protein_coding	TFEB
processed_pseudogene	
unprocessed_pseudogene	SEPTIN7P12
processed_pseudogene	DUSP8P5
processed_pseudogene	
TEC	
protein_coding	JMJD7-PLA2G4B
lncRNA	ALDH1L1-AS1
protein_coding	AADAT
protein_coding	SEC24C
unprocessed_pseudogene	OR7E29P
lncRNA	
protein_coding	CCDC54
processed_pseudogene	RPL37P24
processed_pseudogene	RPL7AP71
lncRNA	
protein_coding	NYX
processed_pseudogene	ATG12P1
lncRNA	LINC00901
processed_pseudogene	THAP5P1
lncRNA	LINC02073
lncRNA	LINC01920
TEC	
TEC	
processed_pseudogene	
lncRNA	C2orf49-DT
protein_coding	CD200R1
processed_pseudogene	PPIAP67
processed_pseudogene	RCC2P3
processed_pseudogene	MTCYBP11
protein_coding	CDK16
lncRNA	
unprocessed_pseudogene	
lncRNA	
protein_coding	WEE2
miRNA	MIR4479
protein_coding	DNLZ
protein_coding	DNAH7
protein_coding	SPATA20
protein_coding	ENTR1
protein_coding	DPP6
lncRNA	NEXN-AS1
lncRNA	NUCB1-AS1
processed_pseudogene	
lncRNA	
lncRNA	
protein_coding	DHDH
protein_coding	ZFP36L1
unprocessed_pseudogene	ALG1L6P
protein_coding	NEGR1
lncRNA	
unitary_pseudogene	
protein_coding	CDCP1
protein_coding	SPTBN5
lncRNA	
processed_pseudogene	RPL36AP10
lncRNA	
lncRNA	LINC01712
protein_coding	FTL
protein_coding	CCDC196
lncRNA	
protein_coding	FAAH
protein_coding	ZNF860
processed_pseudogene	PPIAP70
protein_coding	QTRT2
lncRNA	
unprocessed_pseudogene	DUX4L2
protein_coding	PMPCA
lncRNA	
lncRNA	
processed_pseudogene	PPIAP2
TEC	
protein_coding	NINL
processed_pseudogene	
protein_coding	FUT11
protein_coding	DUX4
protein_coding	CHCHD1
processed_pseudogene	MTHFD2P4
unprocessed_pseudogene	
lncRNA	
lncRNA	
protein_coding	ADAM29
protein_coding	
protein_coding	ZDHHC22
protein_coding	ZSWIM8
protein_coding	ZNF585A
lncRNA	
processed_pseudogene	FAM204DP
snoRNA	
protein_coding	KYAT3
miRNA	MIR1260A
protein_coding	GSTZ1
protein_coding	CCDC195
protein_coding	NCKAP1
protein_coding	GINS1
protein_coding	KAT8
lncRNA	
protein_coding	ZNF585B
lncRNA	
lncRNA	LINC02233
rRNA_pseudogene	RNA5SP393
miRNA	MIR4310
lncRNA	
protein_coding	EIF3J
protein_coding	FBXW7
protein_coding	CD80
lncRNA	
lncRNA	
lncRNA	
lncRNA	
processed_pseudogene	
processed_pseudogene	
processed_pseudogene	
lncRNA	
lncRNA	
protein_coding	SHISAL2A
lncRNA	IKBKB-DT
protein_coding	NR1D2
processed_pseudogene	RPS26P45
lncRNA	LINC02405
processed_pseudogene	HMGB1P18
lncRNA	CLCA4-AS1
processed_pseudogene	RPL5P23
protein_coding	
processed_pseudogene	AURKBP1
lncRNA	
processed_pseudogene	
processed_pseudogene	RPS17P14
protein_coding	DNTTIP2
protein_coding	EMC2
lncRNA	
lncRNA	
processed_pseudogene	
lncRNA	
lncRNA	LINC00904
lncRNA	
lncRNA	
protein_coding	TMEM132D
protein_coding	PRSS8
protein_coding	C6orf118
lncRNA	LINC01838
lncRNA	ZNF30-AS1
TEC	
protein_coding	ZNF792
lncRNA	
processed_pseudogene	
lncRNA	
processed_pseudogene	HNRNPA1P64
lncRNA	
lncRNA	GRAMD1A-AS1
rRNA_pseudogene	RNA5SP226
lncRNA	
snRNA	RNU6-730P
lncRNA	
lncRNA	
misc_RNA	Y_RNA
lncRNA	HPN-AS1
protein_coding	TMEM185A
lncRNA	
protein_coding	TMEM116
protein_coding	TRIM69
protein_coding	NEU1
lncRNA	
protein_coding	
miRNA	MIR6887
protein_coding	INPP5E
protein_coding	LGI4
protein_coding	PRSS36
lncRNA	
protein_coding	PTPRF
protein_coding	NEIL3
processed_pseudogene	
unprocessed_pseudogene	
lncRNA	C9orf163
protein_coding	KCNK9
lncRNA	
protein_coding	FSD1L
lncRNA	
protein_coding	PIK3CG
processed_pseudogene	
processed_pseudogene	PGAM1P3
lncRNA	
protein_coding	ASB5
processed_pseudogene	UBL5P3
protein_coding	DPP10
protein_coding	TRAPPC9
protein_coding	RBMX2
protein_coding	CLDND1
protein_coding	
protein_coding	SYNCRIP
TEC	
processed_pseudogene	NDUFB5P1
lncRNA	ZSWIM8-AS1
lncRNA	
processed_pseudogene	CHORDC1P3
protein_coding	
protein_coding	SPATA4
protein_coding	TMED8
protein_coding	NDST2
processed_pseudogene	
processed_pseudogene	
lncRNA	
protein_coding	SAGE1
protein_coding	NUDT14
lncRNA	LINC02504
TEC	
lncRNA	
processed_pseudogene	EEF1B2P6
lncRNA	
processed_pseudogene	
lncRNA	PAXIP1-AS2
protein_coding	GPR34
processed_pseudogene	RALGAPA1P1
protein_coding	FXYD7
lncRNA	FKTN-AS1
lncRNA	
lncRNA	
TEC	
processed_pseudogene	
lncRNA	
lncRNA	
lncRNA	
processed_pseudogene	NDUFA3P6
protein_coding	TAL2
processed_pseudogene	
processed_pseudogene	RARRES2P4
misc_RNA	Y_RNA
processed_pseudogene	RPL23AP84
lncRNA	
protein_coding	VEGFC
lncRNA	
lncRNA	
lncRNA	
protein_coding	PYCARD
protein_coding	CDK20
protein_coding	CD276
lncRNA	
lncRNA	
TEC	
lncRNA	
protein_coding	C10orf71
lncRNA	ABCA9-AS1
protein_coding	DNAJB6
protein_coding	DACH2
lncRNA	
processed_pseudogene	RPL35AP23
protein_coding	TIMM23
lncRNA	
lncRNA	
processed_pseudogene	
transcribed_processed_pseudogene	
lncRNA	PYCARD-AS1
lncRNA	
misc_RNA	RN7SKP92
protein_coding	FXYD5
protein_coding	TRIM72
lncRNA	
unprocessed_pseudogene	MTCO1P9
lncRNA	ING2-DT
lncRNA	
transcribed_processed_pseudogene	BNIP3P1
lncRNA	LINC02477
snoRNA	SNORA74C-1
protein_coding	MSMB
processed_pseudogene	RPL26P3
protein_coding	GALNT7
lncRNA	LINC02327
lncRNA	
lncRNA	
protein_coding	TOM1L1
processed_pseudogene	RPL23AP61
protein_coding	ZP2
unprocessed_pseudogene	AGAP7P
processed_pseudogene	
lncRNA	PEG13
protein_coding	SPRYD4
lncRNA	
protein_coding	CHRAC1
protein_coding	GLT1D1
lncRNA	LINC02326
lncRNA	LINC00200
lncRNA	
protein_coding	ELF4
lncRNA	
lncRNA	
snRNA	RNU6-864P
processed_pseudogene	
lncRNA	
protein_coding	VPS26A
protein_coding	NAF1
protein_coding	EIF3E
protein_coding	DIAPH2
protein_coding	USP20
lncRNA	
processed_pseudogene	
lncRNA	
snRNA	RNU11-5P
lncRNA	
snRNA	RNU6-1234P
lncRNA	
lncRNA	HSPA2-AS1
lncRNA	
protein_coding	PIKFYVE
lncRNA	INSYN1-AS1
protein_coding	CLDN24
processed_pseudogene	
lncRNA	LINC02509
lncRNA	
protein_coding	PPP1R36
lncRNA	
processed_pseudogene	
processed_pseudogene	
processed_pseudogene	MARK2P4
processed_pseudogene	
processed_pseudogene	NOL8P1
unprocessed_pseudogene	
lncRNA	SPCS3-AS1
protein_coding	SUPV3L1
protein_coding	ICE2
TEC	
TEC	
protein_coding	ARFIP1
protein_coding	ANKS4B
unitary_pseudogene	
transcribed_unitary_pseudogene	CRYM-AS1
protein_coding	ANKLE2
unprocessed_pseudogene	
protein_coding	COL4A6
unprocessed_pseudogene	SNX29P1
lncRNA	
processed_pseudogene	NUP50P1
unprocessed_pseudogene	
protein_coding	NPIPB3
protein_coding	PLEKHG3
processed_pseudogene	RPS15AP18
miRNA	MIR4457
miRNA	MIR4277
miRNA	MIR6075
misc_RNA	Y_RNA
misc_RNA	RN7SKP73
miRNA	MIR4458
snRNA	RNU1-76P
misc_RNA	Metazoa_SRP
snoRNA	SNORD123
rRNA_pseudogene	RNA5SP177
misc_RNA	Y_RNA
rRNA_pseudogene	RNA5SP176
miRNA	MIR4636
misc_RNA	Y_RNA
snRNA	RNU6-429P
miRNA	MIR887
snRNA	RNU6-679P
misc_RNA	RN7SKP133
snoRNA	U8
rRNA_pseudogene	RNA5SP179
rRNA_pseudogene	RNA5SP178
snRNA	RNU6-660P
misc_RNA	Metazoa_SRP
misc_RNA	RN7SL58P
rRNA_pseudogene	RNA5SP180
snRNA	RNU6-1003P
snoRNA	SNORD81
misc_RNA	Y_RNA
miRNA	MIR6131
miRNA	MIR4637
misc_RNA	Metazoa_SRP
snoRNA	
misc_RNA	Y_RNA
snRNA	RNU4-43P
misc_RNA	Y_RNA
protein_coding	NAGPA
snRNA	RNU6-374P
misc_RNA	Y_RNA
misc_RNA	RN7SKP207
snoRNA	
snRNA	RNU6-1079P
lncRNA	
snRNA	RNU6-378P
miRNA	MIR579
snoRNA	SNORD29
misc_RNA	Y_RNA
snRNA	RNU6-738P
snRNA	RNU6-358P
protein_coding	HKDC1
snRNA	RNU6-760P
miRNA	MIR4279
snRNA	RNU6-909P
snRNA	RNU6-1190P
snRNA	RNU6-484P
snoRNA	U3
miRNA	MIR3650
snRNA	RNU7-130P
snoRNA	SNORA63
snRNA	RNU1-150P
lncRNA	TBX3-AS1
snRNA	RNU6-480P
snRNA	RNU6-1296P
misc_RNA	Y_RNA
misc_RNA	RN7SL383P
snRNA	RNU6-272P
miRNA	MIR581
misc_RNA	RN7SL801P
miRNA	
snRNA	RNU6-381P
rRNA_pseudogene	RNA5SP185
rRNA_pseudogene	RNA5SP182
lncRNA	
snRNA	RNU6ATAC2P
misc_RNA	Y_RNA
miRNA	MIR449A
miRNA	MIR449B
protein_coding	SLC17A8
miRNA	MIR449C
rRNA_pseudogene	RNA5SP183
misc_RNA	RN7SKP157
misc_RNA	Y_RNA
snoRNA	
snRNA	RNU6-299P
rRNA_pseudogene	RNA5SP184
miRNA	MIR5687
misc_RNA	Y_RNA
snRNA	RNU6-1232P
misc_RNA	RN7SL169P
snRNA	RNU6-294P
snRNA	RNU6-540P
snRNA	RNU6-913P
miRNA	MIR4803
protein_coding	SPTB
snRNA	RNU7-196P
snoRNA	
rRNA_pseudogene	RNA5SP186
misc_RNA	RN7SL814P
snoRNA	
miRNA	MIR582
snRNA	RNU6-680P
processed_pseudogene	
snRNA	RNU6-806P
misc_RNA	Y_RNA
lncRNA	
misc_RNA	
misc_RNA	
lncRNA	
misc_RNA	
processed_pseudogene	RPS15AP28
snRNA	RNU4-11P
processed_pseudogene	ATP5MC1P7
snRNA	RNU6ATAC36P
misc_RNA	RN7SL378P
misc_RNA	RN7SKP295
protein_coding	TSPAN15
snRNA	RNU6-620P
protein_coding	ATP6V0A4
snoRNA	SCARNA18
miRNA	MIR3660
misc_RNA	RN7SKP34
miRNA	MIR4280
misc_RNA	RN7SL629P
snRNA	RNU6-606P
snRNA	RNU6-727P
snRNA	RNU6-448P
snRNA	RNU6-804P
misc_RNA	RNY3P1
miRNA	MIR3977
snoRNA	
miRNA	MIR2277
snRNA	RNU1-73P
snRNA	RNU6-211P
miRNA	SNORD138
misc_RNA	Y_RNA
rRNA_pseudogene	RNA5SP187
snoRNA	SNORA70
misc_RNA	Y_RNA
protein_coding	AKNA
snoRNA	SNORA47
misc_RNA	
misc_RNA	RN7SL802P
miRNA	MIR5695
miRNA	MIR548P
miRNA	MIR9-2
snRNA	RNU6-1119P
misc_RNA	Metazoa_SRP
misc_RNA	RN7SKP62
misc_RNA	Y_RNA
protein_coding	FARSA
misc_RNA	RN7SKP68
snRNA	RNU4-90P
misc_RNA	Y_RNA
lncRNA	LINC02376
miRNA	MIR583
snRNA	RNU6-524P
processed_pseudogene	RPL35AP12
snRNA	RNU6-47P
processed_pseudogene	
misc_RNA	RN7SKP230
lncRNA	LINC02460
snRNA	RNU6-308P
lncRNA	WWC2-AS2
misc_RNA	RN7SKP57
processed_pseudogene	
snRNA	RNU6-482P
rRNA_pseudogene	RNA5SP188
lncRNA	
misc_RNA	
protein_coding	TENM3
misc_RNA	Y_RNA
processed_pseudogene	ST13P3
snRNA	RNU1-140P
misc_RNA	RN7SL255P
processed_pseudogene	SLC25A3P2
protein_coding	DHCR24
snRNA	RNU6-334P
misc_RNA	RN7SKP89
snRNA	RNU6-402P
snRNA	RNU6-644P
snRNA	RNU2-49P
protein_coding	STAC3
miRNA	MIR1244-2
misc_RNA	RN7SL711P
misc_RNA	RN7SL174P
miRNA	MIR548F3
snoRNA	SNORA13
snRNA	RNU6-752P
snoRNA	
snRNA	RNU6-373P
snRNA	RNU6-701P
miRNA	MIR5706
misc_RNA	RN7SKP117
snRNA	RNU4ATAC13P
snRNA	RNU7-53P
snRNA	RNU6-718P
rRNA_pseudogene	RNA5SP189
misc_RNA	Y_RNA
miRNA	MIR4460
misc_RNA	RN7SL689P
snRNA	RNU6-290P
snRNA	RNU4-69P
snRNA	RNU6ATAC10P
rRNA_pseudogene	RNA5SP191
misc_RNA	
lncRNA	
snoRNA	
transcribed_processed_pseudogene	CYCSP38
miRNA	
rRNA_pseudogene	RNA5SP193
misc_RNA	
misc_RNA	Vault
protein_coding	WDR93
misc_RNA	
misc_RNA	
misc_RNA	
misc_RNA	Y_RNA
miRNA	MIR1289-2
snRNA	RNU6-236P
miRNA	MIR874
snRNA	RNU7-34P
miRNA	MIR5197
protein_coding	STOX2
misc_RNA	RN7SL87P
misc_RNA	RN7SKP246
snRNA	RNU7-156P
misc_RNA	Y_RNA
snRNA	RNU7-180P
miRNA	MIR5692C1
miRNA	MIR145
miRNA	MIR143
snoRNA	U3
misc_RNA	Metazoa_SRP
misc_RNA	
misc_RNA	
processed_pseudogene	ACTG1P18
snRNA	RNU6-588P
rRNA_pseudogene	RNA5SP197
lncRNA	
processed_pseudogene	
miRNA	MIR6499
snRNA	RNU6-390P
lncRNA	
misc_RNA	RN7SL655P
misc_RNA	RN7SL366P
miRNA	MIR378A
lncRNA	
misc_RNA	RN7SL177P
miRNA	MIR3142
miRNA	MIR146A
lncRNA	
rRNA	RNA5SP194
lncRNA	
snRNA	RNU6-164P
lncRNA	
snRNA	RNU6-260P
misc_RNA	RN7SL868P
lncRNA	
miRNA	MIR1294
protein_coding	SPCS3
unprocessed_pseudogene	MICC
misc_RNA	Y_RNA
misc_RNA	RN7SL623P
lncRNA	
misc_RNA	RN7SKP60
processed_pseudogene	TMPOP1
miRNA	MIR103A1
miRNA	MIR103B1
processed_pseudogene	SUCLA2P1
snoRNA	
processed_pseudogene	RANP1
snRNA	RNU2-48P
protein_coding	HLA-E
snRNA	RNU6-500P
miRNA	MIR218-2
misc_RNA	Y_RNA
miRNA	MIR585
rRNA_pseudogene	RNA5SP200
miRNA	MIR4634
miRNA	MIR1271
misc_RNA	Y_RNA
snRNA	RNU6-209P
miRNA	MIR8056
snRNA	RNU1-39P
snRNA	RNU6-168P
TEC	
miRNA	MIR5003
snRNA	RNU1-17P
miRNA	MIR8089
snRNA	RNU6-525P
protein_coding	VWC2L
misc_RNA	Y_RNA
unprocessed_pseudogene	DUX4L7
processed_pseudogene	
miRNA	MIR340
snRNA	RNU6-1036P
miRNA	MIR1229
misc_RNA	RN7SKP150
misc_RNA	Y_RNA
protein_coding	EEF2KMT
protein_coding	TRIML1
protein_coding	SLC34A1
lncRNA	
processed_pseudogene	TMEM256P1
protein_coding	NEUROG3
processed_pseudogene	MTATP6P23
processed_pseudogene	MTCO2P23
processed_pseudogene	MTCO1P23
processed_pseudogene	MTND2P15
processed_pseudogene	MTND1P20
protein_coding	FAM241B
protein_coding	EDNRA
miRNA	MIR7855
lncRNA	SUCLG2-DT
lncRNA	LINC02651
unprocessed_pseudogene	
protein_coding	POMT2
snRNA	RNU6-666P
unprocessed_pseudogene	
snRNA	RNU6-452P
lncRNA	LINC02673
processed_pseudogene	FAM210CP
processed_pseudogene	TRIAP1P1
protein_coding	EPB41L5
polymorphic_pseudogene	PTCHD3
protein_coding	BRAP
lncRNA	
processed_pseudogene	SERBP1P3
processed_pseudogene	RPS26P21
snRNA	RNU6-132P
processed_pseudogene	MRPL15P1
protein_coding	RFT1
protein_coding	MESP2
protein_coding	ACBD5
lncRNA	LINC02569
protein_coding	PRR3
protein_coding	ANPEP
protein_coding	AGTPBP1
lncRNA	SLC1A2-AS1
processed_pseudogene	
lncRNA	
unprocessed_pseudogene	OR52Q1P
protein_coding	OR56A5
lncRNA	FARSA-AS1
miRNA	MIR6515
lncRNA	
protein_coding	OR56B2P
protein_coding	RAD23A
protein_coding	PFN3
protein_coding	DDB2
lncRNA	
lncRNA	LINC02500
processed_pseudogene	RPL9P28
protein_coding	LRRC4
processed_pseudogene	
processed_pseudogene	APOBEC3AP1
lncRNA	LINC02382
protein_coding	GRK6
lncRNA	
transcribed_processed_pseudogene	
lncRNA	LINC01982
processed_pseudogene	PHKA1P1
processed_pseudogene	PRELID3BP3
processed_pseudogene	PSMD7P1
unprocessed_pseudogene	MTND4P3
lncRNA	RNFT1-DT
TR_V_pseudogene	TRBV5-2
processed_pseudogene	CAPZA1P5
miRNA	MIR877
processed_pseudogene	
protein_coding	PPP1R10
processed_pseudogene	MRPL42P4
unprocessed_pseudogene	BPTFP1
lncRNA	
protein_coding	COL24A1
lncRNA	
lncRNA	
protein_coding	SPOCK3
lncRNA	
processed_pseudogene	
protein_coding	NCAPG2
lncRNA	
protein_coding	NGFR
lncRNA	
unprocessed_pseudogene	ENPP7P14
processed_pseudogene	
lncRNA	LINC02164
lncRNA	
lncRNA	LINC02415
processed_pseudogene	
lncRNA	LINC02373
lncRNA	KRT7-AS
processed_pseudogene	RPS3AP48
unprocessed_pseudogene	MTND3P6
lncRNA	
processed_pseudogene	SNRPCP20
processed_pseudogene	NPM1P3
lncRNA	LINC01570
protein_coding	CHPT1
unprocessed_pseudogene	MTCO2P29
lncRNA	
lncRNA	LINC02035
lncRNA	
lncRNA	
protein_coding	C3orf85
TEC	
miRNA	MIR8065
processed_pseudogene	
transcribed_unprocessed_pseudogene	DHX40P1
TEC	
lncRNA	
lncRNA	
lncRNA	B4GALT4-AS1
lncRNA	
TEC	
processed_pseudogene	
snRNA	RNU7-99P
protein_coding	OR5AC2
snRNA	RNU6-457P
snRNA	RNU6-328P
processed_pseudogene	
protein_coding	FHIT
snoRNA	
lncRNA	
snoRNA	
processed_pseudogene	RPL32P33
protein_coding	MT4
unprocessed_pseudogene	
lncRNA	
lncRNA	
processed_pseudogene	
protein_coding	TOB1
protein_coding	MT2A
protein_coding	GADD45GIP1
lncRNA	LINC02071
lncRNA	
lncRNA	
lncRNA	
lncRNA	
protein_coding	CFAP44
TEC	
protein_coding	MT1E
protein_coding	CD300LF
lncRNA	
protein_coding	TMEM150B
protein_coding	MRPS18B
protein_coding	MT1M
processed_pseudogene	RPL17P37
lncRNA	
lncRNA	
lncRNA	
lncRNA	SNRPF-DT
lncRNA	LINC02393
protein_coding	AP3S2
lncRNA	LINC02398
transcribed_unprocessed_pseudogene	MT1JP
protein_coding	TBX3
protein_coding	IZUMO3
