Gene	HT29-CoCl2-1_S1	HT29-CoCl2-2_S13	HT29-CoCl2-3_S6	HT29-Ctrl-1_S11	HT29-Ctrl-2_S7	HT29-Ctrl-3_S15
FABP1	126	91	103	303	354	447
THNSL2	73	80	58	298	331	478
MRPL45P1	0	0	0	0	0	1
AC012671.1	0	0	0	0	0	0
RNU6-1168P	0	0	0	0	0	0
RNU6-1007P	0	0	0	0	0	0
RPL38P6	1	1	2	0	0	3
FOXI3	0	0	0	0	0	0
TEX37	0	0	0	0	0	0
AC104134.1	0	5	2	1	0	0
EIF2AK3	997	1192	959	436	531	780
EIF2AK3-DT	20	7	10	39	34	47
AC062029.1	4	1	2	16	11	28
RPIA	149	207	143	501	639	1040
ANKRD36BP2	0	8	3	14	20	24
AC244205.2	0	0	0	0	0	0
AC244205.1	0	0	0	0	0	0
MIR4436A	0	0	0	0	0	0
IGKC	0	0	0	0	0	0
IGKJ5	0	0	0	0	0	0
IGKJ4	0	0	0	0	0	0
IGKJ3	0	0	0	0	0	0
IGKJ2	0	0	0	0	0	0
IGKJ1	0	0	0	0	0	0
IGKV4-1	0	0	0	0	0	0
IGKV5-2	0	0	0	0	0	0
IGKV7-3	0	0	0	0	0	0
PGBD4P5	0	0	0	0	0	0
IGKV2-4	0	0	0	0	0	0
IGKV1-5	0	0	0	0	0	0
IGKV1-6	0	0	0	0	0	0
IGKV3-7	0	0	0	0	0	0
IGKV1-8	0	0	0	0	0	0
IGKV1-9	0	0	0	0	0	0
IGKV2-10	0	0	0	0	0	0
IGKV3-11	0	0	0	0	0	0
IGKV1-12	0	0	0	0	0	0
IGKV1-13	0	0	0	0	0	0
IGKV2-14	0	0	0	0	0	0
IGKV3-15	0	0	0	0	0	0
IGKV1-16	0	0	0	0	0	0
IGKV1-17	0	0	0	0	0	0
IGKV2-18	0	0	0	0	0	0
IGKV2-19	0	0	0	0	0	0
IGKV3-20	0	0	0	0	0	0
IGKV6-21	0	0	0	0	0	0
IGKV1-22	0	0	0	0	0	0
IGKV2-23	0	0	0	0	0	0
IGKV2-24	0	0	0	0	0	0
IGKV3-25	0	0	0	0	0	0
IGKV2-26	0	0	0	0	0	0
AC244255.1	0	0	0	0	0	0
IGKV1-27	0	0	0	0	0	0
IGKV2-28	0	0	0	0	0	0
IGKV2-29	0	0	0	0	0	0
IGKV2-30	0	0	0	0	0	0
IGKV3-31	0	0	0	0	0	0
IGKV1-32	0	0	0	0	0	0
IGKV1-33	0	0	0	0	0	0
IGKV3-34	0	0	0	0	0	0
IGKV1-35	0	0	0	0	0	0
IGKV2-36	0	0	0	0	0	0
IGKV1-37	0	0	0	0	0	0
IGKV2-38	0	0	0	0	0	0
IGKV1-39	0	0	0	0	0	0
IGKV2-40	0	0	0	0	0	0
AC006453.5	0	0	0	0	0	0
AC006453.3	19	17	16	16	15	27
AC006453.1	0	0	0	0	0	0
AC006453.2	0	0	0	0	0	0
AC006453.4	0	0	0	0	0	0
AC006453.6	0	0	0	0	0	0
IGKV2D-40	0	0	0	0	0	0
IGKV1D-39	0	0	0	0	0	0
IGKV2D-38	0	0	0	0	0	0
IGKV1D-37	0	0	0	0	0	0
IGKV2D-36	0	0	0	0	0	0
IGKV1D-35	0	0	0	0	0	0
IGKV3D-34	0	0	0	0	0	0
IGKV1D-33	0	0	0	0	0	0
IGKV1D-32	0	0	0	0	0	0
IGKV3D-31	0	0	0	0	0	0
IGKV2D-30	0	0	0	0	0	0
IGKV2D-29	0	0	0	0	0	0
IGKV2D-28	0	0	0	0	0	0
IGKV1D-27	0	0	0	0	0	0
IGKV2D-26	0	0	0	0	0	0
IGKV3D-25	0	0	0	0	0	0
IGKV2D-24	0	0	0	0	0	0
IGKV2D-23	0	0	0	0	0	0
IGKV1D-22	0	0	0	0	0	0
IGKV6D-21	0	0	0	0	0	0
IGKV3D-20	0	0	0	0	0	0
IGKV2D-19	0	0	0	0	0	0
IGKV2D-18	0	0	0	0	0	0
IGKV6D-41	0	0	0	0	0	0
IGKV1D-17	0	0	0	0	0	0
IGKV1D-16	0	0	0	0	0	0
IGKV3D-15	0	0	0	0	0	0
IGKV2D-14	0	0	0	0	0	0
IGKV1D-13	0	0	0	0	0	0
IGKV1D-12	0	0	0	0	0	0
IGKV3D-11	0	0	0	0	0	0
IGKV2D-10	0	0	0	0	0	0
IGKV1D-42	0	0	0	0	0	0
IGKV1D-43	0	0	0	0	0	0
IGKV1D-8	0	0	0	0	0	0
IGKV3D-7	0	0	0	0	0	0
AC233263.2	0	0	0	0	0	0
IGKV1OR2-118	0	0	0	0	0	0
AC233263.1	0	0	0	0	0	0
AC233263.6	0	0	0	0	0	0
AC233266.1	0	0	0	0	0	0
AC233266.2	0	0	0	0	0	0
AC116050.1	0	0	0	0	0	0
LSP1P4	9	7	7	4	15	20
RNA5SP100	0	0	0	0	0	0
DRD5P1	0	0	0	0	0	0
AC027612.2	0	1	0	0	0	0
AC027612.4	0	0	0	0	0	0
AC027612.1	2	0	1	1	0	0
AC027612.3	2	1	2	1	4	2
AC027612.5	0	0	0	0	0	0
GGT8P	0	0	5	0	1	1
IGKV1OR2-1	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0
AC127391.1	0	0	0	0	0	0
PABPC1P6	0	0	0	0	0	0
SLC9B1P2	0	0	0	0	0	0
ACTR3BP2	0	0	0	0	0	0
CHEK2P3	0	0	0	0	0	0
AC128677.1	0	0	0	0	0	0
IGKV1OR2-2	0	0	0	0	0	0
AC026273.1	40	47	27	20	22	42
AL845331.3	1	0	0	0	0	0
AL845331.2	0	0	0	0	0	0
CNN2P11	0	0	0	0	0	0
AL845331.1	0	0	0	0	0	0
CNN2P8	0	0	0	1	0	0
AC073464.2	0	0	0	0	0	0
CYP4F32P	0	0	0	0	0	1
AC073464.1	0	0	0	0	0	0
SNX18P14	0	0	0	0	0	0
ANKRD20A8P	0	0	0	0	0	0
RNU6-1320P	0	0	0	0	0	0
SOWAHCP5	0	0	0	0	0	0
AC097374.1	1	0	0	0	1	1
TEKT4	0	0	1	0	0	0
MTCO1P48	0	0	0	0	0	0
MTCO3P45	0	0	0	0	0	0
RPS24P6	1	2	0	1	3	5
AC103563.3	0	0	0	0	0	1
AC103563.4	0	0	0	0	0	0
AC103563.5	0	0	0	0	0	0
AC103563.1	0	0	0	0	0	0
AC103563.6	0	0	0	0	0	0
AC103563.8	0	0	0	0	0	0
RN7SL575P	0	0	0	0	0	0
AC103563.7	0	0	0	0	0	0
MAL	1	0	2	0	0	0
AC103563.2	0	0	0	0	0	0
AC103563.9	0	0	0	1	1	2
MRPS5	1132	1245	1033	1231	1550	2100
ZNF514	63	53	62	342	371	544
ZNF2	68	73	67	69	87	114
SLC2AXP1	0	0	0	0	0	0
AC092835.1	0	0	0	1	0	1
PROM2	505	501	510	958	1151	1531
KCNIP3	1	2	4	14	16	26
FABP7P2	0	0	0	0	0	0
FAHD2A	85	76	72	144	183	237
AC009238.3	0	0	0	0	0	0
AC009238.2	0	0	0	0	0	0
AC009238.1	0	0	0	0	0	0
UBTFL5	0	0	0	0	0	0
AC133104.2	0	0	0	0	0	0
AC133104.1	0	0	0	0	0	0
TRIM43B	0	0	0	0	0	0
AC009237.11	0	0	0	0	0	0
AC009237.1	0	0	0	0	0	0
AC009237.10	0	0	0	0	0	0
AC009237.2	0	0	0	0	0	0
TRIM64FP	0	0	0	0	0	0
AC009237.14	0	0	0	0	0	0
AC009237.3	0	0	0	0	0	1
AC009237.8	0	0	0	0	0	0
AC009237.15	0	0	0	0	0	0
AC009237.5	0	0	0	0	0	0
OR7E102P	0	0	0	0	0	0
TRIM51JP	0	0	0	0	0	0
AC009237.16	0	0	0	0	0	0
AC009237.4	0	0	0	0	0	0
TRIM43	0	0	0	0	0	0
AC009237.7	0	0	0	0	0	0
AC009237.13	0	0	0	0	0	0
AC009237.12	0	0	0	0	0	0
UBTFL3	0	0	0	0	0	0
AC009237.17	0	0	0	0	0	0
AC009237.6	0	0	0	0	0	0
AC009237.9	0	0	0	0	0	0
AC008268.1	0	0	0	0	0	0
GPAT2P1	0	0	1	0	0	0
LINC00342	51	57	50	599	690	856
ANKRD36C	27	28	25	206	233	342
RN7SL210P	0	0	0	0	0	0
FAHD2CP	12	14	8	26	25	39
GPAT2	0	1	0	1	1	1
ADRA2B	5	6	6	13	9	10
ASTL	0	0	1	1	0	7
DUSP2	17	22	11	70	75	124
AC012307.1	0	0	0	0	0	0
STARD7	4240	4870	3999	2349	2690	4027
STARD7-AS1	34	41	49	65	71	106
TMEM127	1057	1055	868	920	1163	1651
CIAO1	933	957	822	1549	1734	2599
SNRNP200	10651	11308	9334	9799	11105	16527
AC021188.1	0	0	0	0	1	0
ITPRIPL1	0	0	0	0	0	0
NCAPH	372	364	355	710	776	1102
NEURL3	123	157	136	5	4	8
AC013270.1	0	0	0	0	0	0
ARID5A	136	144	137	53	48	69
KANSL3	1465	1511	1294	1168	1391	2169
FER1L5	0	0	1	2	5	10
LMAN2L	287	299	278	307	351	578
CNNM4	405	391	329	543	638	914
MIR3127	0	0	0	0	0	0
CNNM3-DT	0	0	2	8	4	10
CNNM3	519	513	425	528	582	874
ANKRD23	10	14	4	4	18	8
ANKRD39	234	203	159	53	58	95
SEMA4C	73	78	72	238	321	466
FAM178B	0	2	0	0	0	1
AC092636.2	0	0	0	0	0	0
AC092636.1	0	0	0	0	0	0
RNA5SP101	0	0	0	0	0	0
AC079395.3	0	0	0	0	0	0
AC079395.2	0	0	0	0	0	0
AC079395.1	0	0	0	0	0	0
TRIM43CP	0	0	0	0	0	0
AC018892.1	0	0	0	0	0	0
AC018892.2	0	0	0	0	0	0
IGKV2OR2-1	0	0	0	0	0	0
IGKV2OR2-2	0	0	0	0	0	0
IGKV1OR2-3	0	0	0	0	0	0
GPAT2P2	0	1	0	1	0	1
FAHD2B	16	15	10	44	41	46
AC018892.3	0	1	0	0	2	1
RN7SL313P	0	0	0	0	0	1
ANKRD36	15	19	15	170	232	304
AC159540.2	0	0	0	0	0	1
AC159540.1	0	0	0	0	0	0
IGKV1OR2-9	0	0	0	0	0	0
IGKV2OR2-10	0	0	0	0	0	0
IGKV2OR2-7D	0	0	0	0	0	0
IGKV3OR2-5	0	0	0	0	0	0
IGKV1OR2-6	0	0	0	0	0	0
IGKV2OR2-7	0	0	0	0	0	0
IGKV2OR2-8	0	0	0	0	0	0
IGKV1OR2-11	0	0	0	0	0	0
AC092683.1	0	0	1	7	11	14
AC092683.2	0	0	0	0	1	0
ANKRD36B	8	14	5	74	80	95
AC017099.1	0	0	0	0	0	0
AC017099.2	0	0	0	0	0	0
UBTFL6	0	0	0	0	0	1
COX5B	1324	1385	1148	1403	1491	2414
ACTR1B	755	837	613	811	965	1590
C2orf92	8	12	8	37	37	55
RNU4-8P	0	0	1	0	1	1
ZAP70	0	0	0	0	0	1
TMEM131	711	785	673	847	1060	1335
HMGN1P36	1	2	2	1	1	1
RNU7-96P	0	0	0	0	0	0
VWA3B	0	0	0	1	0	2
ATP5F1BP1	2	1	2	0	0	2
AC092675.1	0	0	0	0	0	0
CNGA3	0	0	0	0	0	0
AC092675.2	0	0	0	0	0	0
INPP4A	276	294	240	275	337	478
COA5	237	246	203	443	476	736
UNC50	454	548	431	409	480	764
MGAT4A	118	114	86	106	117	170
YWHAQP5	0	0	0	0	0	0
LINC02611	0	0	0	0	0	0
RNU4-84P	0	0	0	0	0	0
KIAA1211L	32	35	27	94	92	171
RNU7-46P	0	0	0	0	0	0
TSGA10	68	64	65	153	133	219
SMC3P1	3	3	6	3	9	12
C2orf15	64	73	59	141	192	237
AC079447.1	8	13	10	6	12	12
LIPT1	48	41	34	66	82	89
AC092587.1	0	0	0	0	0	0
MITD1	424	505	385	477	503	625
MRPL30	540	629	535	855	926	1359
LYG2	3	2	0	0	5	6
LYG1	34	38	21	0	10	5
TXNDC9	845	1048	847	554	682	1037
EIF5B	3435	3767	3447	3097	3746	5702
REV1	1231	1312	1146	747	931	1428
AC018690.1	19	31	25	10	14	17
AFF3	1	0	0	0	0	1
AC092667.1	0	0	0	0	0	0
LINC01104	0	0	0	0	0	0
LONRF2	28	38	25	121	150	255
CYCSP7	0	0	0	0	0	0
AC012493.1	0	0	0	0	0	0
CHST10	0	0	0	0	0	0
RALBP1P2	1	0	1	1	0	0
NMS	0	0	0	0	0	0
ARPP19P2	3	0	2	2	1	2
PDCL3	169	191	209	162	169	237
HMGN2P22	0	0	0	0	0	0
LINC01849	0	0	0	0	0	0
AC092845.1	0	0	0	0	0	0
NANOGNBP1	0	0	0	0	0	0
LINC01868	0	0	0	0	0	0
AC092168.1	0	0	0	0	0	0
AC092168.3	0	0	0	0	0	0
NPAS2	194	202	150	202	239	358
AC092168.2	2	1	0	1	1	1
NPAS2-AS1	1	2	1	1	2	0
AC016738.1	3	1	1	2	2	8
RPL31	13224	13680	11716	7782	8908	15573
TBC1D8	1077	1034	848	763	941	1369
BBIP1P1	2	0	2	1	2	5
TBC1D8-AS1	0	3	1	18	18	31
CNOT11	1835	1954	1665	1420	1734	2416
RNF149	1079	1368	947	638	730	921
SNORD89	9	12	7	0	6	6
MIR5696	0	0	0	0	0	0
CREG2	8	4	5	0	0	1
AC092570.1	0	0	0	0	0	0
RFX8	2	0	4	0	0	0
LINC01870	0	0	0	0	0	0
RPS6P3	0	0	0	0	0	0
PRCPP1	0	0	0	0	0	0
AC093894.1	0	0	0	0	0	0
AC093894.2	0	0	0	0	0	0
MAP4K4	455	444	397	820	1014	1365
LINC01127	0	0	0	0	0	0
IL1R2	39	39	25	38	47	87
AC007271.1	0	0	0	0	0	0
IL1R1	8	13	6	31	35	46
IL1R1-AS1	0	0	0	0	0	0
IL1RL2	58	64	55	121	147	205
FAM183DP	0	0	0	0	0	0
IL1RL1	0	0	0	1	0	0
IL18R1	3	3	2	2	7	7
SDR42E1P5	0	0	0	0	0	0
IL18RAP	0	0	0	0	0	0
MIR4772	0	0	0	0	0	0
AC007278.2	0	0	0	0	0	0
AC007278.1	0	0	0	0	0	0
SLC9A4	1	1	1	0	1	0
SLC9A2	26	20	14	19	20	30
MFSD9	546	594	486	377	468	647
TMEM182	45	48	51	65	78	120
LINC01796	0	0	0	3	0	0
LINC01935	0	0	0	0	2	0
AC108051.1	0	0	0	0	0	0
AC073987.1	0	0	0	0	0	0
AC010881.1	0	0	0	0	0	0
AC011593.1	0	0	0	0	0	0
AC092568.1	0	0	0	0	0	0
AC018880.1	0	0	0	0	0	0
AC018880.2	0	0	0	0	0	0
AC013727.1	0	0	0	0	0	0
AC013727.2	0	0	0	0	0	0
LINC01965	0	0	0	0	1	2
AC013727.3	0	0	0	0	0	0
AC096554.1	0	0	0	0	0	0
AHCYP3	0	0	0	0	0	0
AC068535.1	0	0	0	0	0	0
LINC01831	0	0	0	0	0	0
AC068535.2	0	0	0	0	0	0
LINC01102	0	0	0	1	0	0
LINC01103	0	0	0	0	0	0
AC013402.2	0	0	0	0	0	0
AC013402.3	0	0	0	0	0	0
AC068057.4	0	0	0	0	0	0
AC013402.1	0	0	0	0	0	0
RPL23AP27	0	0	0	0	0	0
AC068057.2	0	0	0	0	0	0
AC068057.3	0	0	0	0	0	0
AC068057.1	0	0	0	0	0	0
LINC01114	0	0	0	0	0	0
HMGB3P11	0	0	0	0	0	0
PANTR1	0	0	0	0	0	0
AC018730.1	0	0	0	0	1	1
POU3F3	0	0	0	0	0	0
LINC01159	0	0	0	1	0	1
AC010884.1	0	0	0	0	0	0
MRPS9-AS2	0	0	0	0	0	1
MRPS9	247	288	265	358	400	644
MRPS9-AS1	1	8	1	3	2	1
LINC01918	0	0	0	0	0	0
GPR45	0	0	0	1	0	0
AC012360.2	1	0	0	0	0	2
TGFBRAP1	490	510	457	750	836	1208
AC012360.1	0	0	0	0	3	2
AC012360.3	29	45	33	140	148	233
C2orf49	470	575	466	518	575	830
FHL2	1463	1602	1295	1333	1756	3159
AC108058.1	28	42	30	32	25	46
AC018802.1	0	0	0	0	0	0
AC018802.2	0	0	0	0	0	0
NCK2	342	362	268	358	435	590
AC010978.1	0	0	3	1	0	1
AC009505.1	0	0	0	1	0	1
ECRG4	0	0	1	0	0	0
UXS1	1519	1575	1317	698	751	1007
AC018878.1	2	0	1	0	0	2
AC092106.1	0	0	0	0	0	0
RPL22P10	0	0	0	0	0	0
SRSF3P4	2	3	2	4	2	6
AC114755.3	0	0	0	0	0	0
AC114755.4	0	0	0	0	0	0
AC114755.1	0	0	1	0	1	0
AC114755.2	0	0	0	0	0	0
ANAPC1P6	0	0	0	0	0	0
PLGLA	0	0	0	0	0	0
RGPD3	10	18	9	6	3	8
AC097527.1	0	0	0	0	0	0
CD8B2	0	0	0	0	0	0
AC108868.2	0	0	0	0	0	0
AC108868.1	0	0	0	0	0	0
EEF1A1P12	80	87	79	27	32	69
ST6GAL2	0	0	0	0	0	0
ST6GAL2-IT1	0	0	0	0	0	0
AC016994.1	0	0	0	0	0	0
AC005040.2	0	0	0	0	0	0
PPP1R2P5	0	0	0	0	0	0
AC005040.1	0	0	0	0	0	0
LINC01789	0	0	0	0	0	0
AC096669.1	0	0	0	0	0	0
LINC01885	0	0	0	0	0	0
LINC01886	0	0	0	0	0	1
AC064869.1	0	0	0	0	0	0
GACAT1	0	0	0	0	0	0
RGPD4-AS1	0	0	0	0	0	0
RGPD4	1	1	8	1	3	3
AC009963.2	0	0	0	0	0	0
AC009963.1	0	0	0	0	0	0
RPL22P8	0	0	0	0	0	0
SRSF3P5	0	0	1	0	0	3
SLC5A7	0	0	0	0	0	0
LINC01593	0	0	0	0	0	1
ACTP1	0	0	0	0	0	0
LINC01594	0	0	0	1	0	2
SETD6P1	0	0	0	0	1	0
SULT1C3	1	1	0	3	2	9
WASF1P1	0	0	0	0	0	0
SULT1C2	3	5	3	23	21	27
SULT1C2P2	0	0	0	0	0	0
SULT1C2P1	0	0	1	0	0	0
GMCL1P2	0	0	0	0	0	0
SULT1C4	0	1	0	0	0	0
SMIM12P1	0	0	0	1	0	1
GCC2	2230	2767	2093	3246	3893	5459
GCC2-AS1	1	5	2	3	9	8
LIMS1	870	1141	729	355	438	561
LIMS1-AS1	6	14	4	2	1	2
AC010095.1	0	0	0	0	0	0
RPL10P5	0	0	0	1	0	1
RANBP2	7989	9028	7708	3544	4132	6414
CCDC138	23	26	44	286	303	467
AC073415.1	0	0	1	5	3	8
EDAR	0	1	0	4	3	4
AC133109.1	0	0	0	0	0	1
SH3RF3-AS1	0	0	0	2	4	6
SH3RF3	1	0	4	22	25	21
MIR4265	0	0	0	0	0	0
SNRPGP9	0	0	0	0	0	0
MIR4266	0	0	0	0	0	0
SEPTIN10	1226	1385	1136	2056	2530	3516
AC011753.3	10	11	8	6	2	10
AC011753.2	0	0	0	0	0	0
SOWAHC	376	422	335	884	1015	1305
AC011753.1	0	0	0	0	0	0
BMS1P19	0	0	0	0	0	0
SRSF3P6	0	0	0	0	3	0
RPL22P11	0	0	0	0	0	0
AC074387.1	0	0	0	0	0	0
RGPD5	0	0	0	0	0	1
LIMS3	0	0	0	0	0	0
AC013271.1	0	0	0	0	0	0
AC013268.1	0	0	0	0	0	0
AC013268.5	0	0	0	0	0	0
GPAA1P1	0	0	0	0	0	0
ZBTB45P1	0	0	0	0	0	0
LINC01123	7	5	3	55	88	85
AC013268.3	0	0	0	17	9	16
AC013268.2	0	0	0	0	0	0
AC013268.4	1	0	0	3	4	1
MIR4267	0	0	0	0	0	0
MALL	118	103	100	75	84	115
MIR4436B1	0	0	0	0	0	0
NPHP1	26	19	23	98	125	245
ACTR1AP1	1	0	0	2	0	1
MTLN	55	68	67	81	88	152
AC140479.3	0	0	0	0	0	0
AC140479.4	0	0	0	0	0	0
AC140479.5	0	0	0	0	0	0
MIR4436B2	0	0	0	0	0	0
AC140479.6	0	0	0	1	0	0
AC140479.1	0	0	0	2	6	0
AC140479.2	9	2	3	79	100	130
LINC01106	12	8	9	69	78	91
ZBTB45P2	0	0	0	0	0	0
GPAA1P2	0	0	0	0	0	0
AC112229.4	0	0	0	0	0	0
AC112229.1	0	0	0	0	0	0
AC112229.3	0	0	0	0	0	0
LIMS4	0	0	0	0	0	0
AC112229.2	0	0	0	0	0	0
AC108938.1	0	0	0	0	0	0
RGPD6	0	0	0	0	0	0
AC226101.1	0	0	0	0	0	0
RPL22P12	1	1	1	4	2	4
BUB1	938	966	895	1599	1813	2536
AC114776.1	1	0	0	0	0	0
ACOXL	2	7	4	15	19	18
RPL5P9	0	5	4	5	3	3
MIR4435-2HG	424	423	328	84	97	168
ACOXL-AS1	2	1	1	6	11	16
BCL2L11	333	395	315	178	238	350
AC108463.2	0	5	1	0	0	0
AC108463.1	7	9	4	0	0	0
AC108463.3	5	4	4	0	0	0
AC068491.2	0	0	0	0	0	0
AC068491.3	4	8	1	0	2	2
RPS14P4	1	0	0	1	1	4
MIR4435-2	0	0	0	0	0	0
AC068491.1	1	1	1	0	2	0
AC017002.4	1	1	0	0	0	0
AC017002.3	0	0	0	0	0	0
SOCAR	0	0	0	0	0	0
AC017002.2	0	0	0	0	0	0
AC017002.1	0	0	0	0	0	0
ANAPC1	374	376	341	698	854	1305
AC093166.3	0	0	0	0	0	0
AC093166.1	0	0	0	0	0	0
CENPNP2	0	0	0	0	0	0
MIR4771-2	0	0	0	0	0	0
AC093166.2	0	0	0	0	0	0
EEF1E1P1	1	0	0	9	6	5
MERTK	97	126	94	68	67	116
RN7SL297P	0	0	0	0	0	0
RTRAFP1	2	0	1	1	2	1
SLC30A6P1	0	0	0	0	0	0
AC093675.1	0	0	0	1	1	1
TMEM87B	808	1019	751	1307	1510	2069
AC093675.2	2	0	0	0	0	0
FBLN7	1	0	1	4	3	5
AC092645.1	0	0	0	1	2	1
ZC3H8	97	108	85	373	422	602
AC092645.2	2	7	4	31	20	35
ZC3H6	162	221	151	176	199	332
NDUFB4P6	1	0	0	1	1	1
AC115115.1	0	0	0	0	0	0
RGPD8	13	15	19	10	8	22
VINAC1P	0	0	0	0	0	0
TTL	611	608	509	496	633	893
POLR1B	189	187	171	808	951	1399
AC012442.1	0	0	0	0	0	0
CHCHD5	139	163	137	107	146	211
AC012442.3	2	0	1	0	0	1
AC012442.2	2	2	0	0	4	5
AC079922.1	4	4	6	2	3	13
AC079922.2	16	6	8	20	25	30
SLC20A1	2737	2977	2408	481	638	943
NT5DC4	19	23	19	2	3	5
CKAP2L	372	396	343	784	1032	1492
IL1A	40	57	42	18	27	55
AC079753.2	0	0	0	1	1	2
IL1B	2	1	1	7	5	14
AC079753.1	2	1	1	0	3	6
XIAPP3	0	1	0	0	0	5
IL37	1	0	0	1	2	0
CDK8P2	0	1	0	0	0	0
IL36G	0	1	0	0	0	0
HMGN2P23	0	1	1	0	0	2
AC016724.1	0	0	0	0	0	1
IL36A	0	0	1	0	1	0
IL36B	10	11	14	0	0	0
IL36RN	61	68	47	12	9	31
IL1F10	0	0	0	0	1	0
RNU6-1180P	0	0	0	0	0	0
IL1RN	226	272	244	166	196	248
PSD4	475	475	400	1054	1336	1854
AC016683.1	0	0	0	1	1	3
PAX8-AS1	1786	1874	1517	1657	1916	2646
PAX8	116	121	103	117	134	196
AC016745.1	0	0	0	3	7	5
IGKV1OR2-108	0	0	0	0	1	0
AC016745.2	0	0	0	0	2	0
CBWD2	193	227	202	200	239	389
FOXD4L1	0	1	2	5	1	2
LINC01961	0	0	0	0	0	0
PGM5P4-AS1	0	0	0	0	0	0
PGM5P4	0	0	0	0	0	0
FAM138B	0	0	0	0	0	0
AL078621.4	0	0	0	0	0	0
MIR1302-3	0	0	0	0	0	0
WASH2P	36	45	30	26	33	55
DDX11L2	9	6	12	43	46	79
AL078621.3	4	10	8	10	9	17
RPL23AP7	17	26	25	46	47	69
RABL2A	6	11	8	67	92	149
AL078621.1	2	2	4	3	3	2
AL078621.2	0	0	0	0	0	0
AC017074.2	0	0	0	0	0	0
AC017074.1	3	1	4	2	3	8
RNU6-744P	0	0	0	0	0	0
SLC35F5	916	1064	834	1072	1284	1737
MIR4782	0	0	0	1	0	0
AC104653.2	0	0	0	0	0	0
AC104653.1	1	0	0	0	1	0
AC110769.2	2	2	0	7	16	11
ACTR3	5369	6005	4971	3618	4299	6540
AC110769.3	0	0	0	0	0	0
LINC01191	1	2	3	3	0	6
AC110769.1	0	2	0	1	1	2
AC010982.1	1	0	0	0	0	0
AC010982.3	0	0	0	0	0	0
AC010982.2	0	0	0	0	0	0
SEPHS1P7	0	0	0	0	0	0
RNU2-41P	0	0	0	0	0	0
DPP10	0	0	0	0	0	0
DPP10-AS3	0	0	0	0	0	0
DPP10-AS2	0	0	0	0	0	0
AC093610.1	0	0	0	0	0	0
DPP10-AS1	0	0	0	0	0	0
RPSAP23	1	0	0	0	0	0
AC016721.1	0	0	0	0	0	0
AC104408.1	0	0	0	0	0	0
AC062016.1	0	0	0	0	0	0
MTCYBP39	0	0	0	0	0	0
AC062016.2	0	0	0	0	0	0
MTND1P28	0	0	0	0	0	0
MTND2P21	0	0	0	0	0	0
MTCO1P43	0	0	0	0	0	0
RNU7-190P	0	0	0	0	0	0
AC092170.1	0	0	0	0	0	0
AC064856.1	0	0	0	0	0	0
AC009312.1	1	1	0	3	5	7
DDX18	1857	2192	1837	2338	2569	4054
AC009404.1	113	106	83	58	52	87
HTR5BP	6	12	3	6	0	3
CCDC93	2865	3165	2567	1053	1164	1770
AC009303.1	2	5	3	1	1	0
AC009303.2	0	6	4	0	2	0
AC009303.3	1	0	1	0	1	0
AC009303.4	43	36	27	11	16	25
RN7SL111P	0	0	0	0	0	0
INSIG2	2010	2333	1904	676	854	1345
THORLNC	1	2	0	29	27	49
LINC01956	0	0	0	0	0	0
EN1	0	0	0	0	0	0
MARCO	0	0	0	0	0	0
AC013457.1	0	0	0	0	0	0
C1QL2	0	0	0	0	0	0
RN7SL468P	0	0	0	0	0	0
STEAP3	21	14	18	62	94	110
STEAP3-AS1	0	0	1	0	1	4
C2orf76	50	49	40	50	38	62
DBI	2350	2558	2368	2358	2769	3562
TMEM37	37	34	37	42	57	88
SCTR	2	0	2	0	6	7
AC013275.1	1	0	0	2	2	5
CFAP221	0	0	0	1	3	5
TMEM177	35	40	32	201	243	343
RPL17P15	1	1	0	1	4	1
PTPN4	829	920	722	845	986	1495
RPL27P7	0	1	0	0	0	0
EPB41L5	750	815	663	586	726	1116
AC012363.2	0	1	0	1	0	0
AC012363.1	0	0	0	0	0	0
MTATP6P26	0	1	1	1	5	0
MTCO3P43	2	1	1	0	1	5
MTND3P10	0	0	0	0	2	1
MTND4LP14	1	0	0	3	1	0
MTND4P26	1	0	1	2	0	1
MTND5P28	1	0	0	0	0	0
TMEM185B	257	245	247	1006	1120	1684
RALB	2374	2715	2105	1863	2100	3327
AC012363.3	0	0	0	0	0	0
INHBB	1	1	0	1	1	2
LINC01101	0	0	0	1	0	1
AC073257.2	0	0	0	1	2	2
AC073257.1	0	0	0	4	1	1
AC018866.1	0	0	0	0	0	0
AC018866.2	0	0	0	0	0	0
GLI2	3	1	1	17	12	23
AC017033.1	0	0	0	0	0	0
AC016764.1	0	0	0	0	0	0
AC067960.1	0	0	0	0	0	0
AC079988.1	0	0	0	0	0	0
TFCP2L1	29	17	11	22	29	54
AC013399.1	0	0	0	0	0	0
CLASP1	1929	2136	1750	1518	1884	2820
AC012447.1	2	1	0	4	6	7
RNU4ATAC	1	1	1	0	0	1
AC079449.1	0	0	0	0	0	0
NIFK-AS1	19	22	21	119	109	185
RPL12P15	0	0	1	2	0	3
AC018737.2	0	1	0	0	1	1
NPM1P32	1	3	1	4	7	9
NIFK	232	260	225	628	758	1280
TSN	999	1171	949	1459	1652	2457
AC018737.1	0	0	0	0	0	0
LINC01823	0	0	0	0	0	1
AC011246.1	0	0	0	0	0	0
